"row_id","fofId","mass","np","m.np"
44460,416000498290,82625798144,603,603
44461,416000563600,71937900544,525,525
44462,416000419560,100301996032,732,732
44463,416000284900,154701004800,1129,1129
44464,416001075350,34667200512,253,253
44465,416001202560,30556499968,223,223
44466,416000011260,5035099947008,36746,36746
44467,416000682580,57961398272,423,423
44468,416000050310,1056600031232,7711,7711
44469,416000753880,51795300352,378,378
44470,416001039500,36037398528,263,263
44471,416001095210,33982099456,248,248
44472,416000297670,147437993984,1076,1076
44473,416000151030,314744995840,2297,2297
44474,416001002580,37544701952,274,274
44475,416000517570,79200100352,578,578
44476,416001110950,33433999360,244,244
44477,416001278670,28501100544,208,208
44478,416000939280,40422199296,295,295
44479,416000651280,61112901632,446,446
44480,416000371810,114963996672,839,839
44481,416000023230,2400119947264,17516,17516
44482,416000541660,75226398720,549,549
44483,416000669810,59194601472,432,432
44484,416001306320,27815999488,203,203
44485,416000947730,40011100160,292,292
44486,416000057180,917926969344,6699,6699
44487,416000519190,78926102528,576,576
44488,416000618270,64812601344,473,473
44489,416001131810,32748900352,239,239
44490,416000138800,345439010816,2521,2521
44491,416001018960,36859600896,269,269
44492,416000023250,2398069981184,17501,17501
44493,416001025780,36585500672,267,267
44494,416001217310,30145400832,220,220
44495,416000157690,299809996800,2188,2188
44496,416001022330,36722601984,268,268
44497,416001247450,29323200512,214,214
44498,416000470890,88106696704,643,643
44499,416000107720,456976990208,3335,3335
44500,416001301110,27953000448,204,204
44501,416001029230,36448501760,266,266
44502,416001061120,35215298560,257,257
44503,416000828180,46588301312,340,340
44504,416000050180,1059609968640,7733,7733
44505,416001006020,37407698944,273,273
44506,416000896140,42614599680,311,311
44507,416000861660,44532998144,325,325
44508,416000883370,43299700736,316,316
44509,416000197780,232531001344,1697,1697
44510,416000322510,134831996928,984,984
44511,416001273610,28638099456,209,209
44512,416000736970,53165498368,388,388
44513,416000267160,166347997184,1214,1214
44514,416001091490,34119100416,249,249
44515,416000754000,51795300352,378,378
44516,416000974380,38777901056,283,283
44517,416001279030,28501100544,208,208
44518,416000876210,43710799872,319,319
44519,416000626400,63853400064,466,466
44520,416000585490,68923301888,503,503
44521,416001202880,30556499968,223,223
44522,416000147050,324200005632,2366,2366
44523,416000430700,97424400384,711,711
44524,416000037190,1455470018560,10622,10622
44525,416000757490,51521200128,376,376
44526,416000223250,203207000064,1483,1483
44527,416001083720,34393100288,251,251
44528,416000864050,44395900928,324,324
44529,416000584570,69060296704,504,504
44530,416000306030,142916993024,1043,1043
44531,416000971130,38914998272,284,284
44532,416000738470,53028499456,387,387
44533,416000242840,185119997952,1351,1351
44534,416001170300,31515600896,230,230
44535,416000382690,111263997952,812,812
44536,416000254380,175665004544,1282,1282
44537,416000878600,43573800960,318,318
44538,416000752220,51932299264,379,379
44539,416000419660,100301996032,732,732
44540,416001318220,27541899264,201,201
44541,416000316720,137573007360,1004,1004
44542,416001242300,29460299776,215,215
44543,416000127560,379283996672,2768,2768
44544,416000947920,40011100160,292,292
44545,416000772070,50424999936,368,368
44546,416000119060,409018007552,2985,2985
44547,416000773920,50288001024,367,367
44548,416000142680,335162015744,2446,2446
44549,416000620560,64538501120,471,471
44550,416000871310,43984900096,321,321
44551,416001099250,33845000192,247,247
44552,416000020140,2781460037632,20299,20299
44553,416001079820,34530201600,252,252
44554,416000413120,102083002368,745,745
44555,416001222250,30008399872,219,219
44556,416000956330,39600099328,289,289
44557,416000601660,66867900416,488,488
44558,416001198100,30693500928,224,224
44559,416000073910,692385021952,5053,5053
44560,416000385640,110305001472,805,805
44561,416000367880,116334002176,849,849
44562,416001306710,27815999488,203,203
44563,416000517620,79200100352,578,578
44564,416000886070,43162701824,315,315
44565,416000388650,109345996800,798,798
44566,416000723780,54261698560,396,396
44567,416000556240,73033998336,533,533
44568,416000893640,42751598592,312,312
44569,416000384810,110578999296,807,807
44570,416000489870,84270096384,615,615
44571,416000914540,41655398400,304,304
44572,416000258650,172514000896,1259,1259
44573,416000570490,70978699264,518,518
44574,416000990040,38092800000,278,278
44575,416000675560,58646499328,428,428
44576,416000355620,120856002560,882,882
44577,416000383570,110990000128,810,810
44578,416000777690,50013900800,365,365
44579,416001009200,37270700032,272,272
44580,416000311530,140175998976,1023,1023
44581,416000025040,2215140130816,16166,16166
44582,416000809270,47821500416,349,349
44583,416000236130,191148998656,1395,1395
44584,416000042190,1273509969920,9294,9294
44585,416000150920,315019001856,2299,2299
44586,416001012420,37133598720,271,271
44587,416000218400,208276996096,1520,1520
44588,416000956550,39600099328,289,289
44589,416000813400,47547498496,347,347
44590,416000492710,83722002432,611,611
44591,416000423300,99342696448,725,725
44592,416000906460,42066501632,307,307
44593,416000420690,100027998208,730,730
44594,416000746950,52343398400,382,382
44595,416001076060,34667200512,253,253
44596,416000075160,678819004416,4954,4954
44597,416001095480,33982099456,248,248
44598,416000650060,61249900544,447,447
44599,416001227280,29871300608,218,218
44600,416000914510,41655398400,304,304
44601,416000022940,2430539923456,17738,17738
44602,416000393070,107975000064,788,788
44603,416000035040,1550569963520,11316,11316
44604,416001318170,27541899264,201,201
44605,416000740190,52891398144,386,386
44606,416000006620,8480720158720,61892,61892
44607,416000764650,50973097984,372,372
44608,416000703420,56042999808,409,409
44609,416001184000,31104600064,227,227
44610,416000292060,150589997056,1099,1099
44611,416000387370,109756997632,801,801
44612,416000354910,121130000384,884,884
44613,416000625150,63990398976,467,467
44614,416000180180,258291007488,1885,1885
44615,416000634920,62894198784,459,459
44616,416000542590,75089403904,548,548
44617,416000718910,54672801792,399,399
44618,416000585630,68923301888,503,503
44619,416000282470,156208005120,1140,1140
44620,416000449630,92765601792,677,677
44621,416000142450,335709995008,2450,2450
44622,416001273570,28638099456,209,209
44623,416000396140,107016003584,781,781
44624,416000302910,144560996352,1055,1055
44625,416001083690,34393100288,251,251
44626,416000417040,100987002880,737,737
44627,416000663160,59879698432,437,437
44628,416001247410,29323200512,214,214
44629,416000928230,40970301440,299,299
44630,416000974350,38777901056,283,283
44631,416000003240,16461299974144,120134,120134
44632,416000896110,42614599680,311,311
44633,416001179370,31241601024,228,228
44634,416000091660,546591014912,3989,3989
44635,416000603810,66593898496,486,486
44636,416000282240,156345008128,1141,1141
44637,416000682760,57961398272,423,423
44638,416000160610,293779996672,2144,2144
44639,416000651380,61112901632,446,446
44640,416000980530,38503899136,281,281
44641,416000104120,474790002688,3465,3465
44642,416001184070,31104600064,227,227
44643,416000930990,40833298432,298,298
44644,416000675550,58646499328,428,428
44645,416000513650,79885303808,583,583
44646,416000893620,42751598592,312,312
44647,416001095420,33982099456,248,248
44648,416001301060,27953000448,204,204
44649,416000917130,41518399488,303,303
44650,416000264990,167854997504,1225,1225
44651,416001123430,33022900224,241,241
44652,416001212400,30282399744,221,221
44653,416000807190,47958601728,350,350
44654,416000508210,80844398592,590,590
44655,416001301030,27953000448,204,204
44656,416000953570,39737098240,290,290
44657,416000342690,125924999168,919,919
44658,416000725400,54124699648,395,395
44659,416000028240,1954109980672,14261,14261
44660,416001119260,33159899136,242,242
44661,416000123750,392027013120,2861,2861
44662,416000294980,148945993728,1087,1087
44663,416000059290,882849021952,6443,6443
44664,416000977320,38640898048,282,282
44665,416000452010,92217499648,673,673
44666,416000523910,78104002560,570,570
44667,416000490500,84133003264,614,614
44668,416000965130,39189000192,286,286
44669,416000276390,160045006848,1168,1168
44670,416000440560,94958002176,693,693
44671,416000768290,50699100160,370,370
44672,416001083670,34393100288,251,251
44673,416000996390,37818798080,276,276
44674,416000803070,48232599552,352,352
44675,416000443310,94272798720,688,688
44676,416000725390,54124699648,395,395
44677,416000401200,105509003264,770,770
44678,416000710980,55357898752,404,404
44679,416000363940,117703999488,859,859
44680,416000974330,38777901056,283,283
44681,416000888580,43025698816,314,314
44682,416001222180,30008399872,219,219
44683,416000209130,218554007552,1595,1595
44684,416000131720,366128988160,2672,2672
44685,416001032670,36311498752,265,265
44686,416000424300,99068698624,723,723
44687,416000775790,50150998016,366,366
44688,416000873760,43847798784,320,320
44689,416000374210,114141003776,833,833
44690,416001061070,35215298560,257,257
44691,416000745210,52480401408,383,383
44692,416001207690,30419400704,222,222
44693,416000119380,407785013248,2976,2976
44694,416000226100,200467005440,1463,1463
44695,416000586630,68786298880,502,502
44696,416000078610,646755975168,4720,4720
44697,416001009160,37270700032,272,272
44698,416001193330,30830499840,225,225
44699,416000071780,714308976640,5213,5213
44700,416000883510,43299700736,316,316
44701,416000850280,45218099200,330,330
44702,416000566510,71526801408,522,522
44703,416000077250,659224985600,4811,4811
44704,416001018920,36859600896,269,269
44705,416000810970,47684501504,348,348
44706,416000069890,736370032640,5374,5374
44707,416000349860,123048001536,898,898
44708,416000256050,174431993856,1273,1273
44709,416000698710,56454098944,412,412
44710,416000400290,105783001088,772,772
44711,416000489860,84270096384,615,615
44712,416000009640,5853410230272,42718,42718
44713,416000207460,220472000512,1609,1609
44714,416000649980,61249900544,447,447
44715,416000903690,42203500544,308,308
44716,416000939240,40422199296,295,295
44717,416000038680,1394910035968,10180,10180
44718,416000733520,53439500288,390,390
44719,416000225520,201015001088,1467,1467
44720,416001317740,27541899264,201,201
44721,416000528000,77418799104,565,565
44722,416001039680,36037398528,263,263
44723,416000484180,85366300672,623,623
44724,416000403940,104687001600,764,764
44725,416000283330,155659993088,1136,1136
44726,416000861640,44532998144,325,325
44727,416000130220,370788007936,2706,2706
44728,416000965320,39189000192,286,286
44729,416000466330,89065897984,650,650
44730,416000942300,40285200384,294,294
44731,416000760810,51247198208,374,374
44732,416000856860,44807000064,327,327
44733,416000088190,569336987648,4155,4155
44734,416000160600,293779996672,2144,2144
44735,416000545280,74678296576,545,545
44736,416001257700,29049200640,212,212
44737,416000558000,72760000512,531,531
44738,416000694260,56865198080,415,415
44739,416001289190,28227000320,206,206
44740,416001046730,35763400704,261,261
44741,416000052800,1002469982208,7316,7316
44742,416001278950,28501100544,208,208
44743,416000563720,71937900544,525,525
44744,416000157880,299398004736,2185,2185
44745,416000059360,881889968128,6436,6436
44746,416000355980,120718999552,881,881
44747,416000947880,40011100160,292,292
44748,416001273540,28638099456,209,209
44749,416000496990,82899795968,605,605
44750,416001025740,36585500672,267,267
44751,416000986740,38229798912,279,279
44752,416000898720,42477600768,310,310
44753,416000253160,176624992256,1289,1289
44754,416000859480,44670001152,326,326
44755,416000204780,223624003584,1632,1632
44756,416000682750,57961398272,423,423
44757,416001053720,35489300480,259,259
44758,416000495610,83173900288,607,607
44759,416000801040,48369598464,353,353
44760,416001207630,30419400704,222,222
44761,416000050320,1056459980800,7710,7710
44762,416000403450,104823996416,765,765
44763,416000003310,16147799867392,117846,117846
44764,416000689950,57276198912,418,418
44765,416001165930,31652700160,231,231
44766,416000152550,311319986176,2272,2272
44767,416000555280,73171099648,534,534
44768,416000222710,203754995712,1487,1487
44769,416000593010,67964100608,496,496
44770,416000993150,37955801088,277,277
