#OK
#SQL= select fofId, x, y, z, np from MDR1..FOF f  
#	where f.x between 450 and 550 
#	and f.y between 450 and 550
#	and f.z between 450 and 550
#	and snapnum = 85 
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-04 15:35:28.519 CEST
#QUERYTIME 59 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofId,x,y,z,np
85003593619,496.3435,493.3709,480.9572,111
85003623716,489.0264,470.8031,489.1999,110
85003623722,484.0691,488.9856,451.1979,110
85003654374,469.777,454.5799,481.0663,109
85003654378,486.0052,477.8737,490.6762,109
85003654383,490.6825,466.0677,495.1329,109
85003654384,490.9332,475.8545,474.0522,109
85003654387,498.1159,475.0734,485.7402,109
85003654389,475.8807,483.7673,487.5024,109
85003654392,474.8726,489.6399,457.9562,109
85003685350,482.1303,480.5734,460.5075,108
85003685356,464.6612,451.2258,486.782,108
85003716953,485.3075,462.688,461.0128,107
85003716959,468.8128,457.8927,471.4982,107
85003716967,493.4396,466.1871,481.722,107
85003716971,489.168,489.3604,452.3892,107
85003778623,485.4957,494.3727,473.1837,105
85003778929,469.3939,497.0825,450.3817,105
85003782019,472.6081,486.5353,484.0677,105
85003815569,475.1969,479.2773,459.5263,104
85003815582,467.5944,458.855,470.0174,104
85003845877,477.4271,495.7695,472.5338,103
85003849391,478.0274,479.9775,458.0462,103
85003849410,491.5683,475.6432,470.9592,103
85003849411,498.7985,478.9096,470.3484,103
85003849414,473.6101,484.527,465.384,103
85003884031,471.4959,472.5046,474.3205,102
85003884034,486.6963,474.9946,483.8066,102
85003884035,476.8516,468.6231,488.8579,102
85003884038,476.7035,469.9157,493.7977,102
85003884045,489.2317,468.5801,499.0175,102
85003955238,468.125,464.5701,465.9393,100
85003955239,469.046,475.3087,465.6567,100
85003955252,491.8456,465.8082,465.6845,100
85003955255,499.1466,461.2784,492.7099,100
85003991710,476.2912,478.8507,455.5346,99
85003991718,473.5822,458.9676,484.1727,99
85004024907,476.0189,495.9755,453.676,98
85004063257,477.7805,493.9946,452.7766,97
85004067162,485.2942,463.3237,452.2932,97
85004067163,475.8294,479.9385,456.1447,97
